question,answer,requiere_mas_de_un_chunk,en_algun_chunk
¿Qué es Uruguay?,Uruguay es un país de América del Sur.,no,si
¿A qué distancia está la Luna de la Tierra?,No se cuenta con información para responder a esta pregunta.,no,no
"Si suponemos que estamos en el año 1650, ¿quién sería el presidente en funciones de Uruguay?",Uruguay no era un país ni existia la figura de presidente en el año 1650.,no,si
¿Quiénes eran los Charrúas?,"Los Charrúas eran un pueblo indígena, mayoritariamente nómade que vivió en la zona de Uruguay, Argentina, el sur de Brasil y Paraguay.",no,si
¿Cuándo llegó Cristobal Colón por primera vez al territorio que hoy es Uruguay?,No se cuenta con información para responder a esta pregunta.,no,no
"¿Que relación hay entre Fructuoso Rivera, José Mujica y Tabaré Vázquez?",Los tres fueron presidentes de Uruguay.,si,si
¿Cuál fué el primer presidente de Uruguay?,El primer presidente de Uruguay fué Fructuoso Rivera.,no,si
¿Cuándo se instauró la separación entre la iglesia y el estado uruguayo?,José Batlle y Ordóñez la introdujo en 1917.,no,si
¿Cuáles fueron los bandos que se opusieron en La Batalla de Las Piedras?,En La Batalla de Las Piedras se opusieron los Criollos Orientales al Ejército Realista de Montevideo.,si,si
¿Cuál es la relación entre los perros cimarrones y José Gervasio Artigas?,"Se le atribuye a Artigas la frase célebre ""Si me quedó sin soldados, pelearé con perros cimarrones"". Fue su respuesta cuando se le preguntó como pensaba enfrentar la invasión Portuguesa a la Provincia Oriental.",no,si
"¿Quién es ""el Negro Ansina""?",Un afro-montevideano que había sido capturado por los portugueses y reducido a la esclavitud. Posteriormente comprado y liberado por José Artigas.,no,si
"¿Hubieron dictaduras en Uruguay previo a 1950? ¿Qué relación tuvo con el ""Maracanazo""?","Si, en Uruguay ocurrió la ""Dictadura de Terra"" en 1931. No guarda relación alguna con la participación y consagración de los uruguayos en el Mundial de 1950.",si,si
¿Artigas estaba vivo durante Declaratoria de la independencia en Uruguay?,"Si, José Gervasio Artigas murio el 23 de septiembre de 1850 y la Declaratoria de la Independencia fue realizada el 25 de agosto de 1825.",si,si
¿Cuantos planetas tiene el sistema solar?,No se cuenta con información para responder a esta pregunta.,no,no
¿Cuál es la superficie del planeta?,No se cuenta con información para responder a esta pregunta.,no,no
¿Cuándo y quién fundo Montevideo?,La ciudad de Montevideo fue fundada en 24 de diciembre de 1726 por el gobernador Zabala.,no,si
"¿Que fue primero, el nacimiento de Artigas o la fundación de Montevideo?","La fundación de la ciudad de Montevideo fue primero, se fundó en 19 de enero de 1724, mientras que José Gervasio Artigas nació el 19 de junio de 1764 ",si,si
